prop_name,prop_proven,time,num_lemmas_attempted,num_lemmas,num_raw_eqs,num_evals,num_proved_lemmas,num_unproved_lemmas,proved_lemmas,unproved_lemmas,prop
prop_1,True,0.890378,1,0,545,87651,0,0,[],[],take n xs++drop n xs == xs
prop_10,True,0.060651,1,0,100,14469,0,0,[],[],m-m == Z
prop_11,True,0.239729,0,0,107,16998,0,0,[],[],drop Z xs == xs
prop_12,True,0.25475,1,0,146,24878,0,0,[],[],drop n (map f xs) == map f (drop n xs)
prop_13,True,0.160616,0,0,107,16521,0,0,[],[],drop (S n) (x:xs) == drop n xs
prop_14,True,0.64844,1,0,268,50010,0,0,[],[],filter p (xs++ys) == filter p xs++filter p ys
prop_15,True,0.243199,1,0,74,12544,0,0,[],[],len (ins x xs) == S (len xs)
prop_16,True,0.018334,0,0,0,189,0,0,[],[],xs == [] => last (x:xs) == x
prop_17,True,0.053204,0,0,89,11535,0,0,[],[],n<=Z == n==Z
prop_18,True,0.220745,1,0,267,40839,0,0,[],[],i<S (i+m) == True
prop_19,True,0.251772,1,0,268,41471,0,0,[],[],len (drop n xs) == len xs-n
prop_2,True,0.881369,1,0,982,175939,0,0,[],[],count n xs+count n ys == count n (xs++ys)
prop_20,False,5.482382,8,4,89,15378,4,0,"['m<=m == True', 'm<=S m == True', 'S m<=m == False', 'insort Z (sort ms) == sort (insort Z ms)']",[],len (sort xs) == len xs
prop_21,True,0.273542,1,0,267,41087,0,0,[],[],n<=(n+m) == True
prop_22,True,0.225368,1,0,102,15540,0,0,[],[],max (max a b) c == max a (max b c)
prop_23,True,0.132159,1,0,102,14439,0,0,[],[],max a b == max b a
prop_24,True,0.219044,1,0,272,44629,0,0,[],[],max a b==a == b<=a
prop_25,True,0.202176,1,0,272,36286,0,0,[],[],max a b==b == a<=b
prop_26,True,0.427281,1,0,224,37697,0,0,[],[],elem x xs == True => elem x (xs++ys) == True
prop_27,True,0.53151,1,0,224,37750,0,0,[],[],elem x ys == True => elem x (xs++ys) == True
prop_28,True,2.243467,1,0,224,38114,0,0,[],[],elem x (xs++(x:[])) == True
prop_29,True,0.07646,1,0,94,15137,0,0,[],[],elem x (ins1 x xs) == True
prop_3,True,0.645054,1,0,474,94453,0,0,[],[],count n xs<=count n (xs++ys) == True
prop_30,True,0.474814,12,10,140,22171,10,0,"['elem (S m) (ins Z ms) == elem (S m) ms', 'elem (S m) (ins m ms) == elem (S m) ms', 'elem m (ins m ms) == True', 'ins Z (ins m ms) == ins m (ins Z ms)', 'm==S m == False', 'm==m == True', 'm==n == n==m', 'S m<m == False', 'm<S m == True', 'm<m == False']",[],elem x (ins x xs) == True
prop_31,True,0.052484,1,0,102,13341,0,0,[],[],min (min a b) c == min a (min b c)
prop_32,True,0.145356,1,0,102,13339,0,0,[],[],min a b == min b a
prop_33,True,0.10884,1,0,272,35118,0,0,[],[],min a b==a == a<=b
prop_34,True,0.174936,1,0,272,35075,0,0,[],[],min a b==b == b<=a
prop_35,True,0.051398,0,0,12,2843,0,0,[],[],dropWhile prop_35_lambda xs == xs
prop_36,True,0.187749,1,0,21,4599,0,0,[],[],takeWhile prop_36_lambda xs == xs
prop_37,True,0.180989,1,0,117,20910,0,0,[],[],not (elem x (delete x xs)) == True
prop_38,True,0.406125,1,0,398,72756,0,0,[],[],count n (xs++(n:[])) == S (count n xs)
prop_39,True,0.513512,0,0,807,152138,0,0,[],[],count n (x:[])+count n xs == count n (x:xs)
prop_4,True,0.361822,1,0,223,43495,0,0,[],[],S (count n xs) == count n (n:xs)
prop_40,True,0.23381,0,0,107,16343,0,0,[],[],take Z xs == []
prop_41,True,0.287504,1,0,146,23759,0,0,[],[],take n (map f xs) == map f (take n xs)
