prop_name,prop_proven,time,num_lemmas_attempted,num_lemmas,num_raw_eqs,num_evals,num_proved_lemmas,num_unproved_lemmas,proved_lemmas,unproved_lemmas,prop
autolifter-single-pass-0after1,False,,16,,10715,1796157,,,,,
autolifter-single-pass-0s1s,False,,19,,18047,3068571,,,,,
autolifter-single-pass-atoi,False,,0,,,,,,,,
autolifter-single-pass-cnt1s,False,,12,,23325,3164039,,,,,
autolifter-single-pass-count10p,False,,6,,29713,5006877,,,,,
autolifter-single-pass-dropwhile,False,,12,,9062,1233305,,,,,
autolifter-single-pass-length,True,4.532648,1,0,757,97083,0,0,[],[],main inp0 == mainNew inp0
autolifter-single-pass-longest1s,False,,19,,18063,2829844,,,,,
autolifter-single-pass-max_dist_between_zeros,False,,9,,16889,2454431,,,,,
autolifter-single-pass-max_len_1s,False,,4,,29279,5332792,,,,,
autolifter-single-pass-mis,False,,0,,,,,,,,
autolifter-single-pass-mps,True,11.414983,0,0,8451,999724,0,0,[],[],main inp0 == mainNew inp0
autolifter-single-pass-mts,False,,11,,11381,1625798,,,,,
autolifter-single-pass-sum,True,5.087307,1,0,1036,138198,0,0,[],[],main inp0 == mainNew inp0
fusion-algprog-ex3.13,False,,0,,,,,,,,
fusion-algprog-ex3.14,False,,10,,5215,912966,,,,,
fusion-algprog-page60,False,,24,,8753,1257732,,,,,
fusion-deforestation-page7-2,True,24.545322,1,0,2222,440908,0,0,[],[],main inp0 == mainNew inp0
fusion-identities-page5,False,,0,,,,,,,,
fusion-shortcut-page1,True,3.19823,1,0,3184,598880,0,0,[],[],main inp0 == mainNew inp0
fusion-tupling-page1,False,,0,,,,,,,,
fusion-tupling-page8,False,,0,,,,,,,,
synduce-combine-mss_with_sum,False,,0,,,,,,,,
synduce-combine-mts,False,,24,,14287,1991413,,,,,
synduce-constraints-all_positive-list_mps,False,,25,,13921,2128125,,,,,
synduce-constraints-all_positive-sndmax,False,,11,,20010,3617571,,,,,
synduce-constraints-all_positive-sndmin,False,,11,,23961,2920014,,,,,
synduce-constraints-balanced_tree-height,False,,22,,15974,4496455,,,,,
synduce-constraints-balanced_tree-height_v2,False,,25,,15851,3447638,,,,,
synduce-constraints-balanced_tree-node_count,False,,6,,26245,6672828,,,,,
synduce-constraints-bst-from_list_max,False,,0,,,,,,,,
synduce-constraints-bst-minimax_separate,False,,2,,23937,5349226,,,,,
synduce-constraints-bst-minimax_sim,False,,2,,22165,6837071,,,,,
synduce-constraints-empty_right_subtree-sum,False,,29,,5038,1010201,,,,,
synduce-constraints-ensures-mps_no_ensures,False,,15,,13007,1909744,,,,,
synduce-constraints-ensures-mts_no_ensures,False,,3,,17777,2581625,,,,,
synduce-constraints-memo-constant,False,,0,,,,,,,,
synduce-constraints-memo-count_lt,False,,0,,,,,,,,
synduce-constraints-memo-mts_memo_sum,False,,0,,,,,,,,
synduce-constraints-memo-proper_indexation_sum_lt_pos,False,,0,,,,,,,,
synduce-constraints-memo-proper_indexation_sum_lt_pos_v2,False,,22,,16370,3425304,,,,,
synduce-constraints-memo-tree_size,False,,0,,,,,,,,
synduce-constraints-sortedlist-failing_slspplus,False,,0,,,,,,,,
synduce-constraints-sortedlist-max,False,,1,,16095,5927870,,,,,
synduce-constraints-sortedlist-min,False,,1,,16966,3572761,,,,,
synduce-constraints-sortedlist-nestedl_pyramid,False,,0,,,,,,,,
synduce-constraints-sortedlist-parallel_max,False,,0,,,,,,,,
synduce-constraints-sortedlist-parallel_max2,False,,0,,,,,,,,
synduce-constraints-sortedlist-parallel_min,False,,0,,,,,,,,
synduce-constraints-sortedlist-slsp,False,,0,,,,,,,,
synduce-constraints-sortedlist-sndmax_empty_base_case,False,,0,,,,,,,,
synduce-constraints-sortedlist-sndmind,False,,0,,,,,,,,
synduce-constraints-unimodal_lists-max_in_um_pos,False,,0,,,,,,,,
synduce-constraints-unimodal_lists-max_logn,False,,0,,,,,,,,
synduce-constraints-unimodal_lists-max_logn_v2,False,,0,,,,,,,,
synduce-indexed_list-position_polynomial,False,,0,,,,,,,,
synduce-indexed_list-sum_elts_lt_pos,False,,16,,12892,2039227,,,,,
