name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
goal_01,Valid,24.93007,1,1,0,Unknown,0,0,0,0
goal_02,Valid,46.77009,0,0,0,Unknown,0,0,0,0
goal_03,Valid,40.0551,0,0,0,Unknown,0,0,0,0
goal_04,Valid,42.22276,4,2,1,Unknown,0,0,0,0
goal_05,Valid,54.671288,4,3,1,Unknown,0,0,0,0
goal_06,Valid,3.3285,0,0,0,Unknown,0,0,0,0
goal_07,Valid,3.5541081,0,0,0,Unknown,0,0,0,0
goal_08,Valid,4.0370946,0,0,0,Unknown,0,0,0,0
goal_09,Valid,12.388436,1,0,0,Unknown,0,0,0,0
goal_10,Valid,2.2021909,0,0,0,Unknown,0,0,0,0
goal_11,Valid,2.710092,0,0,0,Unknown,0,0,0,0
goal_12,Valid,9.645646,0,0,0,Unknown,0,0,0,0
goal_13,Valid,5.798514,0,0,0,Unknown,0,0,0,0
goal_14,Valid,16.777395,0,0,0,Unknown,0,0,0,0
goal_15,Valid,33.13439,0,0,0,Unknown,0,0,0,0
goal_16,Valid,5.330591,0,0,0,Unknown,0,0,0,0
goal_17,Valid,2.7466168,0,0,0,Unknown,0,0,0,0
goal_18,Valid,4.066668,0,0,0,Unknown,0,0,0,0
goal_19,Valid,27.691763,1,0,0,Unknown,0,0,0,0
goal_20,Valid,331.1768,5,1,1,Unknown,0,0,0,0
goal_21,Valid,3.2864652,0,0,0,Unknown,0,0,0,0
goal_22,Valid,14.657921,1,0,0,Unknown,0,0,0,0
goal_23,Valid,8.079041,1,0,0,Unknown,0,0,0,0
goal_24,Valid,8.415711,0,0,0,Unknown,0,0,0,0
goal_25,Valid,14.433405,1,0,0,Unknown,0,0,0,0
goal_26,Valid,39.714085,0,0,0,Unknown,0,0,0,0
goal_27,Valid,36.272427,0,0,0,Unknown,0,0,0,0
goal_28,Valid,61.171955,5,5,2,Unknown,0,0,0,0
goal_29,Valid,48.365536,2,2,1,Unknown,0,0,0,0
goal_30,Valid,73.56607,5,5,2,Unknown,0,0,0,0
goal_31,Valid,15.798567,1,0,0,Unknown,0,0,0,0
goal_32,Valid,8.07429,1,0,0,Unknown,0,0,0,0
goal_33,Valid,12.744287,1,0,0,Unknown,0,0,0,0
goal_34,Valid,15.4507065,1,0,0,Unknown,0,0,0,0
goal_35,Valid,7.797197,0,0,0,Unknown,0,0,0,0
goal_36,Valid,7.610116,0,0,0,Unknown,0,0,0,0
goal_37,Valid,24.99272,0,0,0,Unknown,0,0,0,0
goal_38,Valid,64.077774,0,0,0,Unknown,0,0,0,0
goal_39,Valid,15.364919,0,0,0,Unknown,0,0,0,0
goal_40,Valid,2.551656,0,0,0,Unknown,0,0,0,0
goal_41,Valid,10.830715,0,0,0,Unknown,0,0,0,0
goal_42,Valid,6.398593,0,0,0,Unknown,0,0,0,0
goal_43,Valid,5.54392,0,0,0,Unknown,0,0,0,0
goal_44,Valid,10.056849,0,0,0,Unknown,0,0,0,0
goal_45,Valid,10.831196,0,0,0,Unknown,0,0,0,0
goal_46,Valid,2.651887,0,0,0,Unknown,0,0,0,0
goal_47,Valid,59.78428,3,1,1,Unknown,0,0,0,0
goal_48,Valid,17.484673,0,0,0,Unknown,0,0,0,0
goal_49,Valid,137.4716,4,4,1,Unknown,0,0,0,0
goal_50,Valid,15.104055,0,0,0,Unknown,0,0,0,0
goal_51,Valid,20.005848,1,1,0,Unknown,0,0,0,0
goal_52,Timeout,60344.414,91,77,3,Unknown,0,0,0,0
goal_53,Timeout,60096.54,133,129,4,Unknown,0,0,0,0
