name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
mtp-base,Valid,500,17,4,2,Unknown,0,0,0,0
autolifter-single-pass-max_dist_between_zeros,Timeout,121294.63,96,68,51,Unknown,0,0,0,0
autolifter-single-pass-atoi,Invalid,10943.273,2,2,2,Unknown,0,0,0,0
autolifter-single-pass-dropwhile,Timeout,120015.74,183,2,1,Unknown,0,0,0,0
synduce-treepaths-maxPathWeight2,Timeout,120655.15,109,77,3,Unknown,0,0,0,0
fusion-tupling-page8,Timeout,121091.7,6,4,4,Unknown,0,0,0,0
synduce-list_to_tree-search_v2,Timeout,120025.586,296,225,18,Unknown,0,0,0,0
synduce-tree-sumtree,Valid,559.0417,17,4,2,Unknown,0,0,0,0
synduce-list_to_tree-search_v3,Timeout,120075.38,276,236,16,Unknown,0,0,0,0
synduce-list-sumgt,Timeout,607219.7,76,62,20,Unknown,0,0,0,0
synduce-constraints-sortedlist-nestedl_pyramid,Timeout,120630,178,156,16,Unknown,0,0,0,0
fusion-algprog-ex3.14,Timeout,126910.74,355,327,8,Unknown,0,0,0,0
synduce-indexed_list-search,Valid,1016.15,21,14,8,Unknown,0,0,0,0
synduce-constraints-sortedlist-max,Timeout,121001.71,87,73,29,Unknown,0,0,0,0
synduce-constraints-unimodal_lists-max_in_um_pos,Timeout,120437.09,174,93,33,Unknown,0,0,0,0
autolifter-single-pass-max_len_1s,Timeout,120154.484,209,58,2,Unknown,0,0,0,0
synduce-tree-min,Timeout,120426.35,191,125,11,Unknown,0,0,0,0
synduce-list_to_tree-mls,Timeout,429657.9,153,122,24,Unknown,0,0,0,0
synduce-tree-maxtree,Timeout,120495.305,194,128,11,Unknown,0,0,0,0
synduce-constraints-ensures-mts_no_ensures,Timeout,122349.88,116,78,14,Unknown,0,0,0,0
synduce-misc-unknowns_are_ids,Valid,3079.809,54,9,5,Unknown,0,0,0,0
synduce-constraints-alist-count_eq,Timeout,120049.73,392,335,6,Unknown,0,0,0,0
synduce-constraints-memo-tree_size,Timeout,120218.18,447,373,5,Unknown,0,0,0,0
synduce-constraints-sortedlist-sndmax_empty_base_case,Timeout,120530.65,106,80,8,Unknown,0,0,0,0
synduce-treepaths-maxPathWeight,Timeout,120410.914,157,114,6,Unknown,0,0,0,0
synduce-constraints-all_positive-sndmax,Timeout,130863.12,71,63,17,Unknown,0,0,0,0
autolifter-single-pass-length,Valid,10.268197,1,0,0,Unknown,0,0,0,0
fusion-identities-page5,Valid,313.3778,7,4,4,Unknown,0,0,0,0
synduce-constraints-sortedlist-parallel_min,Timeout,120272.53,229,157,11,Unknown,0,0,0,0
synduce-tree-minmax,Timeout,135785.64,90,56,16,Unknown,0,0,0,0
synduce-constraints-bst-check_mem_included,Timeout,120315.9,249,192,15,Unknown,0,0,0,0
synduce-constraints-balanced_tree-node_count,Timeout,120524.17,360,313,39,Unknown,0,0,0,0
synduce-list-maxcount,Timeout,120325.39,190,147,12,Unknown,0,0,0,0
fusion-algprog-ex3.13,Timeout,194417.98,57,36,7,Unknown,0,0,0,0
synduce-constraints-alist-sums,Timeout,120451.57,215,120,8,Unknown,0,0,0,0
autolifter-single-pass-cnt1s,Timeout,120164.64,450,330,4,Unknown,0,0,0,0
synduce-constraints-unimodal_lists-max_logn,Timeout,120020.25,268,171,6,Unknown,0,0,0,0
synduce-constraints-bst-from_list_max,Timeout,120148.46,181,134,12,Unknown,0,0,0,0
synduce-constraints-sortedlist-failing_slspplus,Timeout,121902.52,88,56,22,Unknown,0,0,0,0
fusion-algprog-page58,Timeout,124370.16,71,62,25,Unknown,0,0,0,0
synduce-list-maxhom,Timeout,120662.46,188,153,6,Unknown,0,0,0,0
synduce-misc-simple_nnf,Valid,57.41723,4,3,3,Unknown,0,0,0,0
synduce-list-mincount,Timeout,120109.51,303,224,3,Unknown,0,0,0,0
synduce-zipper-list_sum_basic,Timeout,287880.9,56,22,5,Unknown,0,0,0,0
synduce-unimodal_lists-sum,Timeout,120036.73,168,45,5,Unknown,0,0,0,0
synduce-list-minhom,Timeout,120259.98,223,178,2,Unknown,0,0,0,0
synduce-list-mts_and_mps_hom,Timeout,121177.55,75,42,16,Unknown,0,0,0,0
synduce-indexed_list-sum_elts_lt_pos,Valid,229.36386,9,3,3,Unknown,0,0,0,0
autolifter-single-pass-mps,Valid,97.922104,15,10,5,Unknown,0,0,0,0
synduce-constraints-balanced_tree-height_v2,Timeout,120163.25,182,156,20,Unknown,0,0,0,0
synduce-treepaths-sum,Timeout,121290.164,6,2,2,Unknown,0,0,0,0
synduce-constraints-sortedlist-sndmind,Timeout,120657.836,191,112,9,Unknown,0,0,0,0
synduce-combine-mss_with_sum,Valid,35350.086,93,58,16,Unknown,0,0,0,0
